ident8;begin.positie;begin.opschrift;begin.afstand;eind.positie;eind.opschrift;eind.afstand;gebied
A0010001;0.379;0.5;-131;12.086;12.1;-6;Agentschap Wegen en Verkeer - AWV212
A0010001;12.086;12.1;-6;21.573;21.6;-27;Agentschap Wegen en Verkeer - AWV112
A0010001;21.573;21.6;-27;35.168;35.1;50;Agentschap Wegen en Verkeer - AWV121
A0010001;47.123;47.1;26;79.637;79.6;27;Agentschap Wegen en Verkeer - AWV123
A0010002;45.169;45.3;-131;47.425;47.4;2;Agentschap Wegen en Verkeer - AWV121
A0019011;0.077;0.1;0;0.874;0.1;797;Agentschap Wegen en Verkeer - AWV212
A0020001;0;0.1;-99;49.992;50;-9;Agentschap Wegen en Verkeer - AWV720
A0020001;49.992;50;-9;86.707;86.7;4;Agentschap Wegen en Verkeer - AWV214
A0020002;86.707;86.7;14;87.973;87.7;268;Agentschap Wegen en Verkeer - AWV213
A0030001;0.85;3.3;-2448;3.31;3.3;12;Brussels Gewest - Brussels Gewest
A0030001;3.31;3.3;13;44.17;44.1;79;Agentschap Wegen en Verkeer - AWV213
A0030001;44.17;44.1;79;53.028;53.1;-73;Waals Gewest - Waals Gewest
A0030001;53.028;53.1;-73;56.47;56.4;79;Agentschap Wegen en Verkeer - AWV213
A0030001;56.47;56.4;79;58.478;58.5;-21;Waals Gewest - Waals Gewest
A0030001;58.478;58.5;-21;61.528;61.5;28;Agentschap Wegen en Verkeer - AWV213
A0030001;61.528;61.5;28;82.29;61.5;20790;Waals Gewest - Waals Gewest
A0040001;0;4;-3996;3.9;4;-96;Brussels Gewest - Brussels Gewest
A0040001;3.9;4;-96;13.476;13.5;-25;Agentschap Wegen en Verkeer - AWV212
A0040001;13.476;13.5;-25;14.2;13.5;699;Waals Gewest - Waals Gewest
A0070001;17.54;17.5;0;19.133;17.5;1593;Waals Gewest - Waals Gewest
A0080001;0;0;0;7.651;7.6;45;Agentschap Wegen en Verkeer - AWV211
A0080001;7.651;7.6;45;33.496;7.6;25890;Waals Gewest - Waals Gewest
A0100001;0;0;-79;14.93;14.9;22;Agentschap Wegen en Verkeer - AWV212
A0100001;14.93;14.9;22;72.13;72.1;39;Agentschap Wegen en Verkeer - AWV411
A0100001;72.13;72.1;39;104.489;104.5;29;Agentschap Wegen en Verkeer - AWV311
A0110001;72.646;72.7;-38;107.182;107.2;0;Agentschap Wegen en Verkeer - AWV411
A0110001;107.182;107.2;0;134.399;134.4;-1;Agentschap Wegen en Verkeer - AWV413
A0110001;134.399;134.4;-1;154.578;154.5;105;Agentschap Wegen en Verkeer - AWV311
A0110002;63.911;64.1;-332;72.646;72.7;-38;Agentschap Wegen en Verkeer - AWV121
A0120001;0;1.3;-1297;1.255;1.3;-42;Brussels Gewest - Brussels Gewest
A0120001;1.255;1.3;-42;15.769;15.8;-32;Agentschap Wegen en Verkeer - AWV212
A0120001;15.769;15.8;-32;22.916;23;-84;Agentschap Wegen en Verkeer - AWV112
A0120001;22.916;23;-84;35.831;35.7;141;Agentschap Wegen en Verkeer - AWV121
A0120001;37;37;0;54.185;54.1;72;Agentschap Wegen en Verkeer - AWV121
A0129251;0;0;0;1.217;1.2;16;Agentschap Wegen en Verkeer - AWV121
A0130001;0.01;0;-6;9.469;9.4;79;Agentschap Wegen en Verkeer - AWV121
