ident8;begin.opschrift;begin.afstand;eind.opschrift;eind.afstand;gebied
A0010001;0.5;-131;12.1;-6;Agentschap Wegen en Verkeer - AWV212
A0010001;12.1;-6;21.6;-27;Agentschap Wegen en Verkeer - AWV112
A0010001;21.6;-27;32.8;-42;Agentschap Wegen en Verkeer - AWV121
A0010001;32.8;-42;35.1;22;Agentschap Wegen en Verkeer - AWV121
A0010001;35.1;22;35.1;50;Agentschap Wegen en Verkeer - AWV121
A0010001;45.3;-131;47.1;26;Agentschap Wegen en Verkeer - AWV121
A0010001;47.1;26;79.6;27;Agentschap Wegen en Verkeer - AWV123
A0010002;0.3;0;12.1;-16;Agentschap Wegen en Verkeer - AWV212
A0010002;12.1;-16;21.7;-6;Agentschap Wegen en Verkeer - AWV112
A0010002;21.7;-6;32.8;-27;Agentschap Wegen en Verkeer - AWV121
A0010002;32.8;-27;35.1;16;Agentschap Wegen en Verkeer - AWV121
A0010002;35.1;16;35.1;46;Agentschap Wegen en Verkeer - AWV121
A0010002;35.1;46;35.1;47;Agentschap Wegen en Verkeer - AWV121
A0010002;45.3;-131;47.4;2;Agentschap Wegen en Verkeer - AWV121
A0010002;47.4;2;79.6;7;Agentschap Wegen en Verkeer - AWV123
A0010111;0;0;0.5;121;Agentschap Wegen en Verkeer - AWV123
A0010112;0;0;0.5;121;Agentschap Wegen en Verkeer - AWV123
A0010121;0;0;0.8;30;Agentschap Wegen en Verkeer - AWV123
A0010121;0.8;30;0.8;52;Agentschap Wegen en Verkeer - AWV123
A0010122;0;0;0.8;30;Agentschap Wegen en Verkeer - AWV123
A0010122;0.8;30;0.8;52;Agentschap Wegen en Verkeer - AWV123
A0010151;0;-8;0.4;59;Agentschap Wegen en Verkeer - AWV123
A0010152;0;-8;0.4;59;Agentschap Wegen en Verkeer - AWV123
A0010161;0;0;0.7;123;Agentschap Wegen en Verkeer - AWV123
A0010162;0;0;0.7;123;Agentschap Wegen en Verkeer - AWV123
