id;naampad;wkt
59476;A1.212/AWEG;simplified;LINESTRING Z (154942.453 176988.591 0, 154964.067 177016.802 0, 154985.679 177037.317 0, 155017.75 177061.595 0, 155368.716 177258.084 0, 155499.002 177336.245 0, 155614.706 177415.88 0, 155699.769 177481.306 0, 155753.945 177526.761 0, 155843.947 177609.036 0, 155942.26 177714.913 0, 156010.15 177798.451 0, 156082.915 177895.913 0, 156158.735 178011.766 0, 156232.316 178139.366 0, 156339.523 178344.565 0, 156523 178713.751 0, 156870.204 179419.784 0, 157854.128 181405.592 0, 157971.945 181648.028 0, 158048.579 181819.373 0, 158073.519 181878.125 0, 158110.89 181976.485 0, 158131.108 182034.851 0, 158182.948 182195.509 0, 158225.589 182341.954 0, 158472.585 183231.06 0, 158534.685 183480.023 0, 158562.451 183614.793 0, 158582.014 183731.761 0, 158590.47 183790.871 0, 158596.629 183849.699 0, 158607.548 183975.995 0, 158613.555 184103.213 0, 158612.446 184263.672 0, 158609.329 184336.579 0, 158603.402 184420.51 0, 158596.186 184495.019 0, 158584.376 184590.02 0, 158567.176 184700.673 0, 158546.518 184805.666 0, 158511.967 184951.392 0, 158474.871 185077.903 0, 158448.022 185159.574 0, 158406.342 185273.066 0, 158363.051 185378.289 0, 158302.825 185508.675 0, 158252.256 185606.502 0, 158203.229 185694.703 0, 158154.291 185774.79 0, 158078.315 185890.265 0, 158048.762 185932.325 0, 157962.984 186046.738 0, 157864.536 186165.381 0, 157821.89 186213.981 0, 157759.778 186280.926 0, 157657.013 186386.305 0, 157520.876 186516.751 0, 157421.905 186614.58 0, 157378.799 186659.732 0, 157289.785 186759.423 0, 157238.808 186821.81 0, 157187.537 186889.211 0, 157103.373 187006.206 0, 156996.525 187160.946 0)
59477;A1.112/AWEG;simplified;LINESTRING Z (156996.525 187160.946 0, 156911.898 187278.443 0, 156698.608 187581.471 0, 156633.672 187676.175 0, 156569.692 187773.546 0, 156484.097 187913.296 0, 156380.985 188091.883 0, 156261.722 188307.279 0, 156177.979 188471.307 0, 156111.168 188614.757 0, 156041.908 188777.165 0, 155858.642 189240.159 0, 155717.329 189603.572 0, 155680.056 189706.41 0, 155643.726 189819.145 0, 155617.091 189913.199 0, 155583.256 190052.328 0, 155575.932 190090.078 0, 155552.963 190217.521 0, 155538.407 190325.141 0, 155533.055 190372.287 0, 155519.733 190555.386 0, 155517.868 190687.679 0, 155522.355 190840.259 0, 155526.446 190899.149 0, 155536.801 191007.137 0, 155556.741 191154.626 0, 155571.757 191237.673 0, 155594.109 191343.07 0, 155622.274 191454.307 0, 155649.666 191550.026 0, 155692.274 191677.042 0, 155739.825 191806.526 0, 155879.35 192169.526 0, 155928.17 192302.593 0, 155962.903 192406.423 0, 155977.694 192457.477 0, 155992.255 192513.436 0, 156006.452 192579.407 0, 156016.015 192632.121 0, 156023.397 192687.521 0, 156033.941 192824.098 0, 156034.163 192893.605 0, 156032.346 192943.204 0, 156026.082 193025.213 0, 156017.617 193088.349 0, 156006.087 193155.83 0, 155982.33 193258.789 0, 155959.912 193338.928 0, 155933.561 193423.916 0, 155660.651 194217.667 0, 155577.411 194466.124 0, 155518.946 194652.769 0, 155477.076 194797.205 0, 155428.999 194986.235 0, 155397.546 195131.817 0, 155371.621 195269.628 0, 155349.198 195413.61 0, 155332.331 195543.581 0, 155314.539 195727.328 0, 155307.915 195822.809 0, 155301.06 195990.04 0, 155299.255 196112.468 0)
59478;A1.121/AWEG;simplified;LINESTRING Z (155299.255 196112.468 0, 155302.074 196569.477 0, 155299.172 196755.126 0, 155295.766 196833.688 0, 155285.36 196961.266 0, 155277.156 197023.22 0, 155267.672 197088.938 0, 155244.672 197208.782 0, 155232.478 197263.672 0, 155204.058 197374.663 0, 155133.985 197616.298 0, 154649.505 199213.003 0, 154520.727 199643.659 0, 154471.955 199824.188 0, 154422.472 200039.827 0, 154401.159 200151.347 0, 154377.944 200290.625 0, 154366.912 200366.504 0, 154343.046 200575.925 0, 154334.095 200688.042 0, 154326.175 200834.485 0, 154322.285 200950.915 0, 154317.947 201181.064 0, 154301.986 202349.684 0, 154285.056 203083.052 0, 154283.326 203133.72 0, 154276.825 203222.891 0, 154268.393 203290.992 0, 154257.795 203349.567 0, 154239.278 203423.169 0, 154215.136 203497.426 0, 154197.882 203544.601 0, 154147.351 203666.446 0, 153251.406 205736.47 0, 153206.985 205851.188 0, 153183.516 205922.47 0, 153158.938 206014.079 0, 153146.547 206075.048 0, 153134.906 206159.188 0, 153130.36 206221.313 0, 153129.281 206268.298 0, 153132.156 206362.266 0, 153137.281 206433.876 0, 153145.047 206508.329 0, 153193.228 206938.501 0, 153200.936 206986.398 0, 153218.999 207076.416 0, 153230.076 207121.424 0, 153255.117 207198.202 0, 153294.844 207295.679 0, 153390.422 207492.074 0, 153424.853 207590.514 0, 153439.784 207652.611 0, 153448.697 207713.024 0, 153452.796 207775.845 0, 153453.523 207821.576 0, 153447.518 207923.391 0, 153435.972 207988.139 0, 153419.853 208049.758 0, 153395.551 208121.488 0, 153354.89 208257.244 0, 153279.255 208490.51 0, 153273.184 208492.365 0, 153248.322 208573.099 0, 153219.872 208678.133 0, 153169.618 208839.12 0, 153161.583 208859.385 0, 153144.968 208911.561 0, 153095.332 209073.275 0, 153067.097 209168.314 0, 153062.024 209193.486 0)
59481;A1.123/AWEG;simplified;LINESTRING Z (156554.278 217599.123 0, 156656.976 217606.321 0, 156707.607 217606.998 0, 156782.557 217604.614 0, 156856.79 217598.348 0, 156930.521 217588.583 0, 157015.918 217573.564 0, 157392.5 217495.074 0, 157465.884 217481.741 0, 157590.18 217462.258 0, 157712.316 217448.502 0, 157798.643 217443.435 0, 157873.414 217441.564 0, 157947.427 217442.764 0, 157983.788 217444.889 0, 158045.771 217450.549 0, 158095.714 217457.434 0, 158156.683 217467.76 0, 158228.694 217482.887 0, 158323.615 217508.396 0, 158371.248 217523.669 0, 158440.416 217548.95 0, 158508.457 217578.113 0, 158620.878 217634.307 0, 158683.983 217669.658 0, 158758.218 217714.191 0, 158840.308 217769.904 0, 158899.688 217815.754 0, 158963.704 217868.377 0, 159043.678 217939.592 0, 159106.142 217999.902 0, 159209.002 218111.957 0, 159266.416 218178.949 0, 159343.051 218275.768 0, 159424.263 218385.311 0, 159460.082 218436.116 0, 159569.41 218600.885 0, 159628.002 218695.225 0, 159747.446 218896.901 0, 160018.93 219369.723 0, 160113.465 219523.368 0, 160185.394 219631.029 0, 160220.563 219680.679 0, 160295.019 219779.312 0, 160366.219 219866.475 0, 160456.277 219968.759 0, 160523.76 220040.128 0, 160629.673 220144.775 0, 161190.318 220662.666 0, 161355.273 220813.007 0, 161470.031 220912.474 0, 161556.427 220984.733 0, 161723.386 221117.433 0, 161958.941 221294.164 0, 162137.551 221422.401 0, 162345.272 221568.13 0, 162867.825 221928.567 0, 163123.24 222110.15 0, 163340.897 222269.549 0, 163593.644 222460.573 0, 165024.934 223572.407 0, 165426.095 223888.381 0, 165617.812 224045.628 0, 165832.974 224228.035 0, 166059.988 224432.156 0, 166175.915 224541.553 0, 166286.462 224649.471 0, 166394.98 224758.36 0, 166562.464 224933.187 0, 166749.797 225138.583 0, 166909.594 225324.158 0, 167094.517 225549.6 0, 167303.954 225822.8 0, 167411.386 225968.164 0, 167529.069 226131.968 0, 167676.026 226339.243 0, 168148.512 227015.856 0, 168203.088 227093.192 0, 168211.516 227101.753 0, 168621.797 227688.407 0, 168984.983 228198.603 0, 169236.322 228540.413 0, 170446.944 230166.227 0, 170710.825 230513.355 0, 170765.208 230582.723 0, 170916.032 230768.113 0, 171019.742 230892.447 0, 172316.519 232422.047 0, 172419.978 232547.144 0, 172537.412 232694.321 0, 172597.898 232772.145 0, 172695.05 232903.001 0, 172788.99 233037.357 0, 172836.924 233109.939 0, 172877.265 233172.922 0, 172974.355 233333.78 0, 173053.679 233476.074 0, 173110.918 233586.434 0, 173185.817 233741.372 0, 173238.776 233859.536 0, 173286.544 233974.382 0, 173349.781 234139.49 0, 173427.529 234366.003 0, 173472.75 234507.739 0, 173573.404 234848.914 0, 173866.188 235890.239 0, 174381.293 237703.857 0, 174460.876 237987.424 0, 174525.882 238228.406 0, 174577.554 238433.981 0, 174625.112 238639.722 0, 174770.411 239327.509 0, 174845.283 239663.168 0, 174934.438 240033.978 0, 175033.248 240415.755 0, 175120.193 240730.99 0, 175213.976 241052.912 0, 175328.403 241422.731 0, 175442.208 241780.215 0, 175479.958 241892.487 0)
59641;A1.121B/AWEG;simplified;LINESTRING Z (154691.418 217099.83 0, 154776.613 217166.513 0, 154848.901 217216.87 0, 154935.414 217271.333 0, 155054.119 217335.377 0, 155061.096 217343.28 0, 155138.174 217379.507 0, 155183.999 217399.058 0, 155276.223 217433.557 0, 155374.006 217464.797 0, 155484.635 217493.926 0, 155634.796 217523.029 0, 155710.492 217534.402 0, 155818.957 217547.445 0, 155978.503 217564.461 0, 156008.126 217563.354 0, 156559.672 217620.703 0, 156613.364 217625.007 0, 156688.542 217628.004 0, 156762.256 217626.876 0, 156835.489 217621.996 0)
53058;A1A.212/AWEG;simplified;LINESTRING Z (154338.031 176742.801 0, 154395.537 176768.714 0, 154747.748 176943.16 0, 155004.747 177067.924 0, 155026.945 177077.54 0, 155056.637 177084.181 0)
53563;A2.720/AWEG;simplified;LINESTRING Z (247341.98 184049.09 0, 246884.807 183740.603 0, 246711.413 183631.789 0, 246581.268 183558.554 0, 246510.018 183522.13 0, 246388.078 183465.46 0, 246337.593 183443.793 0, 246235.363 183403.55 0, 246103.43 183357.063 0, 245979.719 183320.185 0, 245908.956 183301.758 0, 245789.229 183274.006 0, 245650.039 183248.895 0, 245531.628 183232.721 0, 245381.3 183218.756 0, 245290.647 183213.909 0, 245226.441 183212.517 0, 245119.03 183213.201 0, 245035.814 183216.61 0, 244934.573 183223.009 0, 244680.882 183246.691 0, 241494.385 183572.455 0, 241333.321 183590.696 0, 241225.238 183605.887 0, 241155.29 183617.698 0, 241020.145 183645.525 0, 240931.317 183667.618 0, 240842.846 183691.984 0, 240692.39 183739.077 0, 240196.92 183905.146 0, 239994.745 183969.791 0, 239811.3 184023.172 0, 239715.624 184048.238 0, 239576.333 184080.967 0, 239341.04 184127.796 0, 239177.569 184153.531 0, 238995.386 184179.118 0, 238231.211 184278.203 0, 238029.686 184306.769 0, 237877.21 184330.528 0, 237575.044 184384.151 0, 237391.259 184421.164 0, 237292.295 184442.744 0, 237046.765 184500.42 0, 236852.097 184551.157 0, 236613.296 184618.719 0, 236316.225 184709.332 0, 236053.826 184793.278 0, 233579.049 185596.227 0, 233390.828 185658.388 0, 233272.809 185699.693 0, 233102.24 185765.11 0, 233036.073 185792.265 0, 232908.525 185847.869 0, 232688.3 185951.126 0, 228939.708 187785.409 0, 228755.882 187872.083 0, 228533.973 187962.437 0, 228439.202 187995.799 0, 228291.822 188044.35 0, 226079.406 188727.246 0, 223734.572 189427.409 0, 223465.257 189504.516 0, 223295.07 189547.563 0, 223197.442 189568.855 0, 223035.076 189598.978 0, 222909.877 189617.597 0, 222783.756 189632.21 0, 222621.141 189645.275 0, 222467.529 189651.486 0, 222315.037 189652.965 0, 222086.803 189649.391 0, 217292.313 189538.516 0, 217142.666 189534.602 0, 217056.171 189530.432 0, 216955.068 189523.303 0, 216828.353 189509.979 0, 216725.543 189494.705 0, 216611.897 189474.523 0, 216523.613 189455.395 0, 216421.818 189430.281 0, 216359.036 189413.103 0, 216172.804 189359.354 0, 215885.015 189273.178 0, 214645.967 188896.429 0, 214501.202 188855.885 0, 214415.549 188835.036 0, 214341.798 188819.406 0, 214143.663 188783.202 0, 210546.307 188146.435 0, 209533.332 187965.447 0, 208716.645 187818.061 0, 208547.844 187784.634 0, 208390.862 187748.099 0, 208254.245 187709.997 0, 208187.323 187689.201 0, 208044.636 187640.091 0, 207901.822 187583.474 0, 207782.052 187531.232 0, 205915.99 186651.679 0, 205731.276 186558.234 0, 205615.155 186493.828 0, 205509.514 186430.675 0, 205406.651 186364.751 0, 205312.483 186301.841 0, 203225.672 184854.04 0, 203010.496 184713.707 0, 202874.621 184632.601 0, 202788.088 184584.53 0, 202709.045 184543.474 0, 202642.656 184511.442 0, 202524.782 184459.018 0, 202398.386 184408.329 0, 202301.258 184373.513 0, 202219.252 184347.344 0, 202109.987 184315.436 0, 201925.96 184271.714 0, 201846.788 184256.684 0, 201707.839 184233.986 0, 201570.722 184215.223 0, 200844.089 184135.357 0, 200743.965 184120.748 0, 200683.511 184110.204 0, 200589.394 184092.986 0, 200503.906 184074.747 0, 200392.85 184047.744 0, 200318.022 184026.652 0, 200156.845 183973.759 0, 200013.486 183918.134 0, 199925.806 183880.011 0, 199851.188 183844.678 0)
53564;A2.214/AWEG;simplified;LINESTRING Z (199851.188 183844.678 0, 199701.686 183766.115 0, 199561.055 183682.237 0, 199473.659 183624.705 0, 199408.084 183578.843 0, 199284.665 183484.716 0, 199239.593 183447.695 0, 199180.166 183396.345 0, 199066.206 183292.046 0, 198943.294 183171.04 0, 198826.121 183048.596 0, 198440.644 182633.217 0, 198315.74 182506.448 0, 198171.06 182370.577 0, 198113.281 182319.957 0, 198028.099 182249.705 0, 197867.575 182132.651 0, 197796.901 182086.574 0, 197738.544 182051.028 0, 197635.23 181993.485 0, 197562.408 181956.132 0, 197485.724 181920.303 0, 197411.594 181887.828 0, 197272.018 181834.741 0, 197118.027 181786.213 0, 197052.412 181768.736 0, 196956.13 181746.695 0, 196808.462 181720.045 0, 196744.247 181711.005 0, 196638.102 181700.251 0, 196605.795 181697.88 0, 196472.709 181693.263 0, 196386.03 181693.864 0, 196285.752 181698.03 0, 196186.747 181707.07 0, 196083.116 181720.974 0, 195985.121 181738.222 0, 195878.908 181761.353 0, 195764.986 181792.419 0, 195656.442 181827.599 0, 195553.533 181866.123 0, 195441.077 181915.518 0, 195354.489 181957.455 0, 195281.585 181996.716 0, 195209.989 182038.295 0, 195108.304 182103.857 0, 195009.487 182173.019 0, 194904.015 182252.308 0, 194414.863 182640.745 0, 194257.725 182752.488 0, 194179.3 182805.469 0, 194108.315 182850.11 0, 194044.082 182887.929 0, 193937.81 182944.218 0, 193867.137 182977.114 0, 193791.749 183008.673 0, 193701.119 183042.126 0, 193647.432 183059.232 0, 193546.293 183087.967 0, 193470.203 183105.618 0, 193361.04 183125.001 0, 193285.128 183135.432 0, 193143.308 183146.826 0, 193104.977 183148.535 0, 193040.638 183148.524 0, 192936.256 183145.271 0, 192825.323 183136.356 0, 192671.902 183116.468 0, 192562.028 183099.327 0, 192161.107 183027.602 0, 191984.198 183000.591 0, 191850.539 182983.456 0, 191787.513 182977.023 0, 191679.73 182967.878 0, 191573.886 182961.512 0, 191463.587 182957.572 0, 191266.434 182956.791 0, 191122.317 182962.264 0, 191003.809 182969.747 0, 190905.744 182978.315 0, 190654.229 183009.095 0, 189531.719 183174.938 0, 189430.156 183191.653 0, 189336.622 183204.32 0, 188494.589 183329.35 0, 188150.307 183373.551 0, 187889.077 183398.832 0, 187663.637 183415.334 0, 187040.934 183449.649 0, 186647.918 183475.66 0, 186094.296 183521.282 0, 185732.28 183556.272 0, 185169.136 183620.463 0, 184877.043 183658.26 0, 184502.424 183710.302 0, 183430.913 183867.221 0, 183238.721 183890.205 0, 183069.016 183906.394 0, 182892.027 183915.47 0, 182731.947 183915.533 0, 182571.3 183906.793 0, 182458.682 183892.797 0, 182405.538 183884.993 0, 182307.832 183867.42 0, 182198.488 183843.352 0, 182049.03 183801.597 0, 181902.773 183750.716 0, 181805.414 183710.973 0, 181758.305 183689.889 0, 181700.173 183662.533 0, 181623.308 183623.765 0, 181499.998 183554.427 0, 181346.852 183458.921 0, 181195.137 183354.774 0, 181031.196 183234.332 0, 180575.208 182885.484 0, 180410.476 182761.999 0, 180282.079 182672.366 0, 180226.269 182635.921 0, 180168.522 182599.713 0, 180104.244 182562.399 0, 180047.682 182530.585 0, 179933.461 182471.363 0, 179765.222 182394.092 0, 179489.118 182280.287 0, 178684.119 181953.344 0, 178472.813 181865.098 0, 178300.7 181787.531 0, 178168.143 181722.697 0, 178114.201 181694.707 0, 177993.331 181628.678 0, 177859.112 181550.49 0, 177517.901 181337.392 0, 177272.929 181181.839 0, 177170.672 181114.954 0, 177042.853 181021.89 0, 176992.037 180981.684 0, 176894.484 180899.897 0, 176834.637 180846.156 0, 176749.574 180764.734 0, 176645.465 180656.375 0, 176552.051 180547.647 0, 176507.632 180492.759 0, 176458.771 180428.758 0, 174352.344 177535.081 0, 174291.286 177454.194 0, 174249.994 177405.428 0, 174214.107 177368.487 0, 174176.693 177333.909 0, 174149.763 177311.672 0, 174142.964 177309.083 0, 174081.24 177264.374 0, 174017.291 177224.969 0, 173401.872 176861.868 0, 173353.454 176831.432 0, 173257.781 176760.092 0, 173189.566 176701.872 0, 173127.813 176640.887 0, 172831.807 176316.281 0, 172788.405 176270.719 0, 172724.447 176212.655 0, 172664.398 176166.145 0, 172612.657 176131.07 0, 172557.932 176097.284 0, 172003.941 175764.687 0, 171928.734 175716.046 0, 171898.011 175694.244 0, 171857.374 175663.688 0, 171818.048 175630.699 0, 171772.869 175588.768 0, 171719.487 175532.283 0, 171666.051 175464.69 0, 171623.637 175401.469 0, 171585.865 175336.138 0, 171544.783 175257.32 0, 171378.947 174908.863 0, 171345.409 174841.875 0, 171298.977 174755.086 0, 171253.454 174678.274 0, 171224.76 174634.629 0, 171171.85 174561.981 0, 171125.355 174506.125 0, 171088.078 174466.663 0, 171031.114 174413.867 0, 170990.508 174380.82 0, 170937.877 174342.8 0, 170903.952 174321.041 0, 170847.942 174288.666 0, 170597.428 174155.217 0, 170542.363 174122.224 0, 170500.863 174093.876 0, 170460.762 174063.095 0, 170422.305 174029.882 0, 170389.292 173998.251 0, 170347.087 173952.64 0, 170307.768 173903.922 0, 170263.24 173839.574 0, 170225.969 173773.318 0, 170194.745 173706.14 0, 170175.931 173656.282 0, 170153.713 173583.463 0, 170141.636 173534.038 0, 170099.435 173339.082 0, 170082.194 173278.318 0, 170056.66 173206.585 0, 170035.533 173158.551 0, 170010.803 173111.293 0, 169965.776 173036.478 0, 169877.911 172907.413 0, 169770.726 172756.141 0, 169598.985 172508.719 0, 169535.75 172423.282 0, 169469.843 172340.036 0, 169466.875 172330.726 0, 169398.709 172241.168 0)
59221;A2.213/AWEG;simplified;LINESTRING Z (169432.236 172219.001 0, 169385.744 172139.854 0, 169302.447 172012.159 0, 169256.88 171938.927 0, 169204.875 171846.591 0, 169149.929 171740.319 0, 169136.096 171721.318 0, 169121.031 171706.238 0, 169104.657 171695.31 0, 169087.588 171688.458 0, 169063.751 171685.293 0, 169040.756 171688.665 0, 169022.143 171696.116 0, 168997.604 171712.791 0, 168987.602 171722.322 0, 168970.598 171742.692 0, 168957.593 171761.603 0, 168922.73 171819.799 0, 168898.414 171852.47 0, 168867.178 171884.06 0, 168850.1 171897.74 0, 168827.807 171912.556 0, 168797.27 171928.536 0, 168768.351 171939.211 0, 168686.136 171959.011 0, 168584.249 171981.019 0)
51702;A3.213/AWEG;simplified;LINESTRING Z (154533.881 172187.118 0, 154765.61 172300.781 0, 155024.289 172432.393 0, 155030.377 172438.031 0, 155095.925 172470.387 0, 155149.867 172494.408 0, 155397.267 172597.693 0, 155999.266 172825.891 0, 156307.8 172941.104 0, 156406.591 172974.42 0, 156417.049 172974.791 0, 156574.443 173024.562 0, 156676.353 173052.868 0, 156684.463 173056.308 0, 156814.318 173088.343 0, 156972.254 173121.642 0, 157132.137 173150.891 0, 157254.736 173170.215 0, 157496.483 173202.502 0, 157630.22 173213.289 0, 157709.233 173217.379 0, 157714.087 173214.194 0, 157811.965 173218.199 0, 157978.491 173220.406 0, 159022.315 173220.344 0, 159851.682 173222.763 0, 160653.005 173221.511 0, 160920.594 173223.625 0, 161973.709 173222.633 0, 162111.461 173224.572 0, 162365.842 173223.147 0, 162700.502 173215.318 0, 162927.173 173204.679 0, 163122.883 173191.094 0, 163254.357 173178.932 0, 163430.447 173159.489 0, 163527.641 173147.25 0, 163688.447 173123.794 0, 163885.905 173090.965 0, 164036.119 173062.448 0, 164203.208 173027.484 0, 164448.905 172971.388 0, 164660.893 172918.923 0, 166418.18 172462.638 0, 166732.879 172385.669 0, 169008.693 171907.208 0, 169222.228 171858.546 0, 169361.161 171823 0, 169453.399 171796.816 0, 169585.18 171755.882 0, 169754.48 171697.048 0, 169868.365 171654.573 0, 170657.416 171343.39 0, 170667.727 171337.144 0, 171175.643 171137.087 0, 171197.281 171130.265 0, 171640.043 170956.284 0, 171757.736 170912.615 0, 171904.114 170862.915 0, 172036.761 170823.091 0, 172144.712 170794.323 0, 172290.921 170760.34 0, 172426.325 170733.608 0, 172536.482 170716.084 0, 172676.427 170697.811 0, 172818.623 170682.861 0, 173451.666 170628.472 0, 173469.822 170624.839 0, 173727.362 170602.631 0, 174536.437 170533.753 0, 174558.204 170533.159 0, 174733.564 170518.99 0, 174754.64 170514.952 0, 175255.305 170472.095 0, 175299.644 170470.297 0, 175523.529 170450.029 0, 175647.958 170436.277 0, 175770.508 170420.031 0, 175907.092 170397.995 0, 176018.344 170377.235 0, 176128.063 170353.438 0, 176262.297 170320.735 0, 176317.322 170305.621 0, 176441.007 170269.73 0, 176534.492 170240.053 0, 176631.1 170208.474 0, 176875.027 170124.511 0, 182359.756 168216.351 0, 182667.131 168108.357 0, 182839.249 168044.86 0, 182949.373 168001.925 0, 183071.776 167951.807 0, 183180.612 167904.354 0, 183287.088 167854.734 0, 183416.608 167790.135 0, 183520.695 167735.067 0, 183656.943 167658.189 0, 183763.723 167593.252 0, 183848.775 167539.383 0, 183967.895 167459.803 0, 184149.906 167330.529 0, 184254.983 167252.999 0, 184411.133 167134.669 0, 188034.493 164363.194 0, 188331.337 164131.013 0, 188445.462 164031.555 0, 188521.134 163967.844 0, 188606.778 163890.184 0, 188626.848 163879.907 0, 188734.482 163781.422 0, 188805.047 163714.494 0, 188940.471 163579.238 0, 189014.203 163501.459 0, 189078.824 163431.081 0, 189220.989 163268.038 0, 189274.647 163203.25 0, 189421.82 163013.183 0, 189600.172 162771.464 0, 189737.229 162573.505 0, 189852.321 162402.836 0, 191250.348 160317.417 0)
